"Age_Group","Gender","Preferred_Media","Hours_Per_Week","Satisfaction","Meets_Expectations","Emotional_Engagement","Value_For_Time","Re_Watched","Revisit_Times","Prefer_Familiar_Content","Usual_Content_Type","Satisfaction_Score","Repeat_Viewer"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,1,"Yes","2-3 times",2,"Funny videos",4,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,4,4,4,"Yes","2-3 times",3,"I Feel Good Content",3.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,3,2,"Yes","Once",2,"Music, covers, comedy",2.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,3,4,"Yes","More than 3 times",3,"Music,Movies",4.25,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,2,4,2,"Yes","2-3 times",2,"Songs",2.75,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",3,4,3,5,"Yes","Once",3,"Political content - Karige channel",3.75,"Yes"
"Young Adult (20-29 years)","Female","YouTube","2-5 hours",2,2,3,2,"Yes","2-3 times",2,"Rewatch",2.25,"Yes"
"Young Adult (20-29 years)","Female","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,3,3,"Yes","2-3 times",3,"I usually re-watch comfort movies, favorite TV series episodes, and inspiring interviews. I also re-listen to songs that match my mood or help me relax and focus",4,"Yes"
"Adult (30-44 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.)","Less than 2 hours",4,4,3,4,"Yes","More than 3 times",2,"Music audio and video",3.75,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,3,4,3,"Yes","2-3 times",3,"Funny content",3.5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,4,4,4,"Yes","More than 3 times",2,"Films",3.75,"Yes"
"Young Adult (20-29 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",5,5,5,4,"Yes","More than 3 times",3,"Songs",4.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","More than 10 hours",1,2,4,4,"Yes","2-3 times",1,"Not Specified",2.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",5,5,5,5,"Yes","2-3 times",4,"Not Specified",5,"Yes"
"Adult (30-44 years)","Female","YouTube","Less than 2 hours",2,1,3,3,"No","Never",2,"No",2.25,"No"
"Adult (30-44 years)","Male","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,3,"Yes","2-3 times",3,"Sports and music contents",3.75,"Yes"
"Young Adult (20-29 years)","Female","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,3,4,"Yes","2-3 times",2,"Movies",3.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube","More than 10 hours",3,2,4,3,"Yes","2-3 times",3,"Things I forget are important",3,"Yes"
"Young Adult (20-29 years)","Female","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,4,4,4,"Yes","Once",4,"You tube",4,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",1,1,1,1,"Yes","Never",1,"Not Specified",1,"No"
"Middle-Aged Adult (45-59 years)","Male","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,4,4,"Yes","2-3 times",3,"Sports",3.5,"Yes"
"Young Adult (20-29 years)","Female","Television","2-5 hours",4,4,4,4,"Yes","Once",4,"Movies",4,"Yes"
"Adult (30-44 years)","Male","YouTube","6-10 hours",5,3,4,3,"Yes","2-3 times",3,"Comedy",3.75,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",3,4,5,3,"Yes","2-3 times",3,"Music playlists",3.75,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,3,4,"Yes","Once",2,"Not Specified",3.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube","6-10 hours",4,5,3,1,"Yes","2-3 times",2,"Documentaries",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","More than 10 hours",3,4,4,4,"Yes","2-3 times",4,"Entertainment, Education, Positive Thinking",3.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","More than 10 hours",5,5,5,5,"Yes","More than 3 times",3,"Mostly my music playlists rather than video resources.",5,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",5,3,5,4,"Yes","More than 3 times",5,"I mostly prefer to re-watch and listen very calm songs and also emotionally attached tv series and videos.",4.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",3,2,5,4,"Yes","2-3 times",1,"Musical",3.5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,2,2,"Yes","More than 3 times",4,"Mostly songs. I don't really watch other content repeatedly.",3,"Yes"
"Young Adult (20-29 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.)","2-5 hours",3,3,2,2,"Yes","Once",2,"Not Specified",2.5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,4,4,3,"Yes","Once",3,"Not Specified",3.5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",3,3,3,3,"Yes","More than 3 times",3,"Not Specified",3,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",2,2,3,3,"Yes","2-3 times",2,"Songs and playlists",2.5,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,2,2,"Yes","Once",2,"Not Specified",2.5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","2-3 times",1,"Not Specified",4,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,3,1,2,"No","Never",1,"I don't re watch or re listen",2.25,"No"
"Teen (13-19 years)","Male","Television, Radio","2-5 hours",4,4,4,4,"Yes","More than 3 times",3,"Not Specified",4,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","6-10 hours",4,5,5,5,"No","2-3 times",5,"Not Specified",4.75,"Yes"
"Young Adult (20-29 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","More than 10 hours",4,5,1,1,"No","Never",1,"Not Specified",2.75,"No"
"Senior (60 years and above)","Male","Television","Less than 2 hours",1,1,1,1,"Yes","Never",2,"Not Specified",1,"No"
"Middle-Aged Adult (45-59 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,2,4,2,"Yes","Once",4,"Not Specified",3,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"Yes","More than 3 times",5,"Not Specified",5,"Yes"
"Adult (30-44 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.)","2-5 hours",3,3,3,5,"Yes","Never",2,"Not Specified",3.5,"No"
"Young Adult (20-29 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.)","6-10 hours",4,3,4,2,"Yes","2-3 times",4,"Not Specified",3.25,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,3,5,1,"Yes","Once",1,"Films",3.5,"Yes"
"Young Adult (20-29 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",3,3,4,1,"Yes","Once",2,"Certain movies tha are emotionally associated with me and movies that I’ve watched from when I was young / I sometimes listen to audiobooks made for those movies",2.75,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,4,3,2,"Yes","2-3 times",4,"Anime, podcasts",3,"Yes"
"Teen (13-19 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.)","Less than 2 hours",3,1,2,2,"Yes","Once",3,"Not Specified",2,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Podcasts","6-10 hours",4,4,3,4,"Yes","2-3 times",3,"Not Specified",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television","Less than 2 hours",3,4,2,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Radio","Less than 2 hours",4,4,4,3,"No","Never",2,"Not Specified",3.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Television","2-5 hours",2,3,2,2,"Yes","2-3 times",3,"Not Specified",2.25,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",3,3,3,1,"No","Once",3,"Politics",2.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",1,1,1,1,"No","Never",1,"Not Specified",1,"No"
"Senior (60 years and above)","Female","Podcasts","6-10 hours",3,3,4,3,"Yes","More than 3 times",4,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Television","Less than 2 hours",2,4,3,3,"No","Never",2,"Not Specified",3,"No"
"Senior (60 years and above)","Female","YouTube","Less than 2 hours",3,2,2,3,"Yes","Once",3,"Not Specified",2.5,"Yes"
"Senior (60 years and above)","Male","YouTube","Less than 2 hours",3,2,2,2,"No","Never",4,"Not Specified",2.25,"No"
"Senior (60 years and above)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"Yes","2-3 times",3,"Not Specified",5,"Yes"
"Senior (60 years and above)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,4,4,"No","Never",2,"Not Specified",4.25,"No"
"Senior (60 years and above)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio","6-10 hours",4,4,4,3,"Yes","2-3 times",4,"Not Specified",3.75,"Yes"
"Senior (60 years and above)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","6-10 hours",3,3,4,3,"Yes","More than 3 times",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,4,4,"No","Never",2,"Not Specified",3.5,"No"
"Senior (60 years and above)","Male","Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,5,5,5,"Yes","More than 3 times",5,"Not Specified",4.75,"Yes"
"Senior (60 years and above)","Female","Television, Radio","2-5 hours",2,2,2,3,"No","Never",3,"Not Specified",2.25,"No"
"Young Adult (20-29 years)","Female","YouTube","Less than 2 hours",3,3,3,4,"Yes","Once",5,"Motivational type content",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","2-5 hours",3,4,3,4,"Yes","2-3 times",3,"Cooking",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","2-5 hours",4,3,4,3,"Yes","More than 3 times",1,"Not Specified",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Radio","6-10 hours",4,4,4,3,"No","Never",1,"Not Specified",3.75,"No"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",2,3,2,2,"Yes","Once",4,"Not Specified",2.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","Less than 2 hours",5,5,4,5,"Yes","2-3 times",4,"Not Specified",4.75,"Yes"
"Adult (30-44 years)","Female","Television, YouTube","2-5 hours",5,4,3,4,"Yes","2-3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio","2-5 hours",3,4,4,4,"Yes","Once",3,"Not Specified",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television","6-10 hours",4,3,4,4,"No","Once",2,"News",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",3,4,2,4,"No","Never",1,"Auto mobile side",3.25,"No"
"Middle-Aged Adult (45-59 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.)","6-10 hours",3,3,2,2,"Yes","2-3 times",1,"Action Movies",2.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Radio","Less than 2 hours",5,4,3,5,"No","Once",1,"Not Specified",4.25,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",2,2,1,2,"No","Never",1,"Not Specified",1.75,"No"
"Middle-Aged Adult (45-59 years)","Female","Television","2-5 hours",3,4,3,4,"Yes","Once",1,"Not Specified",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television, YouTube","Less than 2 hours",2,3,3,3,"No","Never",4,"Not Specified",2.75,"No"
"Senior (60 years and above)","Female","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",3,3,3,3,"No","Never",1,"Not Specified",3,"No"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",2,4,4,3,"Yes","More than 3 times",3,"Not Specified",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","6-10 hours",4,3,2,4,"No","Never",2,"Not Specified",3.25,"No"
"Middle-Aged Adult (45-59 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.)","Less than 2 hours",2,4,2,3,"No","Never",4,"Not Specified",2.75,"No"
"Senior (60 years and above)","Female","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",1,2,3,3,"Yes","Once",2,"Not Specified",2.25,"Yes"
"Senior (60 years and above)","Female","Streaming Platforms (Netflix, Amazon Prime etc.)","2-5 hours",4,2,3,3,"Yes","2-3 times",2,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Television, Radio","Less than 2 hours",2,3,3,3,"Yes","2-3 times",2,"Not Specified",2.75,"Yes"
"Senior (60 years and above)","Female","Streaming Platforms (Netflix, Amazon Prime etc.)","2-5 hours",2,2,3,2,"Yes","Once",2,"Not Specified",2.25,"Yes"
"Senior (60 years and above)","Male","YouTube","2-5 hours",2,3,4,2,"Yes","Once",2,"Not Specified",2.75,"Yes"
"Senior (60 years and above)","Male","Podcasts","2-5 hours",3,3,3,4,"No","Never",2,"Not Specified",3.25,"No"
"Senior (60 years and above)","Female","Television","2-5 hours",3,2,4,2,"No","Never",2,"Not Specified",2.75,"No"
"Middle-Aged Adult (45-59 years)","Male","Podcasts","Less than 2 hours",2,2,2,2,"No","Never",4,"Not Specified",2,"No"
"Middle-Aged Adult (45-59 years)","Male","YouTube","2-5 hours",4,3,3,4,"Yes","More than 3 times",3,"Not Specified",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television","6-10 hours",4,3,4,2,"No","Never",3,"Talk show",3.25,"No"
"Middle-Aged Adult (45-59 years)","Male","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",2,2,3,2,"Yes","2-3 times",3,"Not Specified",2.25,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Radio","Less than 2 hours",5,4,4,5,"Yes","2-3 times",2,"Not Specified",4.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Radio","Less than 2 hours",5,4,4,5,"Yes","2-3 times",1,"Not Specified",4.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","YouTube","6-10 hours",3,4,3,4,"Yes","Once",2,"Gardening",3.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Television","2-5 hours",4,2,2,2,"No","Once",4,"Not Specified",2.5,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Podcasts","Less than 2 hours",3,3,3,4,"Yes","2-3 times",3,"Not Specified",3.25,"Yes"
"Middle-Aged Adult (45-59 years)","Female","Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",1,2,2,1,"No","Never",4,"Not Specified",1.5,"No"
"Senior (60 years and above)","Male","Television","Less than 2 hours",2,2,3,2,"Yes","Never",2,"Not Specified",2.25,"No"
"Senior (60 years and above)","Male","YouTube","Less than 2 hours",4,4,4,3,"Yes","Once",2,"Not Specified",3.75,"Yes"
"Middle-Aged Adult (45-59 years)","Male","Television","2-5 hours",2,2,1,2,"No","Never",3,"Not Specified",1.75,"No"
